state,city,datetime,crop_type,growth_stage,air_temperature_c,relative_humidity_%,rainfall_mm,wind_speed_mps,solar_radiation_wm2,soil_moisture_%,soil_temperature_c,soil_ph,irrigation_status,fertilizer_applied,pest_risk_level,crop_health_index,crop_duration_days,region
Jharkhand,Bokaro,2023-12-03 14:00:00,Pulses,Flowering,23.1,44.5,4.3,0.8,703.5,37.1,20.6,6.2,ON,UREA,LOW,67,153,East India
Haryana,Ambala,2024-09-20 01:00:00,Mustard,Maturity,14.0,48.1,4.8,5.4,448.8,31.6,13.0,7.2,OFF,UREA,MEDIUM,78,110,North India
Karnataka,Belagavi,2023-11-27 10:00:00,Sugarcane,Germination,38.1,64.6,10.6,4.6,385.1,60.8,34.5,6.0,OFF,ORGANIC,HIGH,81,90,South India
Madhya Pradesh,Ujjain,2023-09-23 11:00:00,Cotton,Vegetative,38.3,45.3,3.9,6.2,667.4,43.8,35.7,6.6,OFF,ORGANIC,MEDIUM,62,104,Central India
Kerala,Kochi,2024-10-16 19:00:00,Banana,Harvest,35.1,79.7,8.7,5.1,454.3,62.7,33.5,5.7,ON,UREA,HIGH,60,173,South India
Punjab,Ludhiana,2023-01-16 23:00:00,Rice,Harvest,30.0,70.8,15.1,1.7,349.2,62.6,27.4,5.7,ON,NONE,HIGH,75,137,North India
Tamil Nadu,Madurai,2024-02-14 17:00:00,Rice,Harvest,27.2,95.2,11.1,1.7,212.4,72.9,26.0,6.1,ON,ORGANIC,LOW,80,139,South India
Manipur,Churachandpur,2023-05-31 19:00:00,Ginger,Seedling,28.1,71.6,8.1,3.3,311.4,67.6,25.8,6.8,ON,MOP,LOW,81,157,Northeast India
Gujarat,Surat,2024-07-05 11:00:00,Tobacco,Vegetative,21.6,74.5,3.7,4.8,557.6,41.8,18.1,5.4,OFF,ORGANIC,HIGH,49,91,West India
Madhya Pradesh,Bhopal,2023-04-26 13:00:00,Wheat,Seedling,17.6,63.5,2.4,2.3,482.8,42.4,16.2,6.9,ON,DAP,LOW,76,162,Central India
Uttarakhand,Roorkee,2024-07-25 03:00:00,Potato,Vegetative,21.0,83.2,5.1,2.6,545.9,57.2,18.6,5.6,ON,UREA,LOW,84,161,North India
Tripura,Dharmanagar,2023-07-13 11:00:00,Rice,Vegetative,26.9,65.7,7.6,5.6,628.7,67.4,24.1,5.8,ON,SSP,MEDIUM,68,92,Northeast India
Odisha,Bhubaneswar,2024-06-14 22:00:00,Jute,Germination,22.2,74.3,5.9,1.7,473.4,63.4,18.7,6.2,OFF,NONE,HIGH,70,96,East India
Gujarat,Junagadh,2024-02-26 05:00:00,Bajra,Maturity,34.1,42.6,1.3,1.2,496.2,31.3,32.4,7.7,ON,MOP,LOW,83,147,West India
Gujarat,Ahmedabad,2024-08-06 20:00:00,Castor,Seedling,28.3,59.9,2.5,3.7,634.7,30.6,27.1,6.7,ON,UREA,MEDIUM,64,128,West India
Sikkim,Jorethang,2023-03-05 22:00:00,Maize,Flowering,21.5,57.9,3.9,0.5,231.6,47.6,18.4,6.4,OFF,MOP,LOW,82,114,Northeast India
Andhra Pradesh,Nellore,2024-09-02 11:00:00,Rice,Maturity,24.7,67.1,6.5,2.2,454.3,63.7,22.7,5.9,ON,ORGANIC,LOW,73,99,South India
Andhra Pradesh,Visakhapatnam,2023-11-03 10:00:00,Chilli,Maturity,23.8,67.4,5.7,2.3,280.7,56.8,21.2,6.7,ON,UREA,HIGH,71,151,South India
Telangana,Warangal,2023-04-09 11:00:00,Rice,Maturity,24.1,74.2,10.0,1.5,641.8,78.8,21.0,6.6,ON,UREA,LOW,90,125,South India
Rajasthan,Jodhpur,2023-06-04 02:00:00,Groundnut,Vegetative,29.3,57.0,4.1,0.5,591.9,50.2,28.1,5.9,OFF,ORGANIC,HIGH,48,132,North India
Madhya Pradesh,Gwalior,2024-09-14 15:00:00,Cotton,Seedling,30.8,48.4,5.7,5.0,579.5,48.9,26.9,6.6,ON,NPK,HIGH,66,152,Central India
Haryana,Rohtak,2023-03-31 01:00:00,Sugarcane,Maturity,26.5,67.3,5.6,5.8,720.4,60.7,23.7,6.9,OFF,UREA,HIGH,72,118,North India
Gujarat,Rajkot,2023-04-11 17:00:00,Tobacco,Flowering,26.4,63.9,5.8,4.4,272.9,51.3,23.0,6.7,OFF,DAP,MEDIUM,67,109,West India
Sikkim,Gangtok,2023-06-23 20:00:00,Cardamom,Seedling,19.2,86.7,12.2,6.2,495.5,55.7,16.1,5.6,ON,ORGANIC,MEDIUM,77,162,Northeast India
Rajasthan,Udaipur,2024-05-24 19:00:00,Cotton,Flowering,36.4,66.1,3.4,1.4,534.4,37.0,33.1,6.4,OFF,NPK,HIGH,69,99,North India
Haryana,Karnal,2023-07-30 00:00:00,Cotton,Maturity,22.5,66.4,4.4,6.1,532.2,41.7,19.0,7.2,OFF,SSP,HIGH,60,167,North India
Maharashtra,Nagpur,2023-05-14 00:00:00,Rice,Vegetative,27.5,71.1,13.5,4.3,621.9,73.7,25.1,6.8,OFF,NPK,MEDIUM,80,127,West India
Uttar Pradesh,Meerut,2023-10-30 10:00:00,Sugarcane,Seedling,37.5,70.1,6.7,2.7,318.0,53.9,36.3,6.0,ON,UREA,LOW,95,141,North India
Kerala,Kozhikode,2023-04-23 14:00:00,Rubber,Vegetative,23.3,76.3,12.5,6.3,458.7,61.5,20.0,6.1,ON,NPK,HIGH,69,91,South India
Madhya Pradesh,Bhopal,2024-10-08 01:00:00,Chickpea,Germination,21.4,41.7,6.9,2.0,473.3,51.1,20.1,7.9,OFF,UREA,LOW,87,180,Central India
Punjab,Jalandhar,2023-08-18 21:00:00,Wheat,Harvest,21.6,57.4,3.0,3.8,727.4,53.4,19.4,6.8,OFF,MOP,MEDIUM,60,107,North India
Tripura,Udaipur,2023-07-23 08:00:00,Rubber,Seedling,22.3,94.9,14.0,2.6,567.2,68.1,19.0,4.3,OFF,NONE,HIGH,71,100,Northeast India
Maharashtra,Kolhapur,2023-03-30 09:00:00,Soybean,Maturity,25.8,69.5,6.7,1.3,650.5,42.8,24.1,6.2,OFF,NPK,HIGH,77,154,West India
Bihar,Bhagalpur,2024-03-31 03:00:00,Wheat,Flowering,23.6,67.8,2.0,1.3,629.5,54.3,19.8,6.3,OFF,SSP,HIGH,67,123,East India
Chhattisgarh,Raipur,2024-06-29 22:00:00,Rice,Maturity,33.7,89.6,10.0,6.2,787.8,79.9,32.6,5.8,ON,NPK,HIGH,80,174,Central India
Karnataka,Mysuru,2023-09-26 12:00:00,Ragi,Flowering,23.2,41.3,6.9,1.4,364.0,40.0,20.6,6.5,OFF,ORGANIC,HIGH,61,152,South India
Karnataka,Mysuru,2024-03-30 11:00:00,Sugarcane,Seedling,36.6,61.3,10.1,0.7,203.9,63.6,32.9,6.3,ON,UREA,MEDIUM,76,94,South India
Karnataka,Mangaluru,2023-03-22 21:00:00,Ragi,Fruiting,29.3,34.6,2.2,0.9,519.5,39.5,27.9,5.9,OFF,DAP,HIGH,65,99,South India
Karnataka,Belagavi,2024-07-20 03:00:00,Cotton,Germination,31.7,65.5,5.6,0.6,446.3,44.7,27.8,7.7,ON,ORGANIC,MEDIUM,87,174,South India
Chhattisgarh,Bilaspur,2024-07-21 00:00:00,Groundnut,Fruiting,25.1,65.8,5.6,6.1,692.1,46.1,23.3,6.3,OFF,NONE,HIGH,62,145,Central India
Andhra Pradesh,Guntur,2024-03-08 05:00:00,Chilli,Flowering,24.8,72.9,6.9,6.5,701.6,63.9,21.0,6.9,ON,ORGANIC,MEDIUM,88,111,South India
Jharkhand,Jamshedpur,2024-08-16 21:00:00,Pulses,Fruiting,17.6,69.3,0.7,6.3,256.4,31.7,14.6,6.7,OFF,MOP,MEDIUM,74,128,East India
Tamil Nadu,Tiruchirappalli,2024-09-16 23:00:00,Rice,Flowering,30.5,77.2,9.6,5.6,656.1,69.1,26.7,5.5,ON,NPK,LOW,88,109,South India
Kerala,Thrissur,2024-09-26 23:00:00,Pepper,Maturity,27.4,82.6,11.1,1.0,366.3,71.0,24.8,6.4,ON,SSP,LOW,76,142,South India
Mizoram,Champhai,2024-03-05 03:00:00,Maize,Flowering,27.1,72.8,7.1,5.5,212.1,59.5,25.3,6.2,ON,NONE,LOW,75,110,Northeast India
Himachal Pradesh,Mandi,2024-02-10 22:00:00,Potato,Germination,18.4,70.8,7.3,6.0,607.3,66.7,15.3,6.2,OFF,MOP,HIGH,66,164,North India
Telangana,Karimnagar,2023-12-11 04:00:00,Sugarcane,Seedling,25.6,79.2,6.6,2.9,707.2,77.4,22.3,6.2,OFF,ORGANIC,HIGH,60,175,South India
Meghalaya,Jowai,2024-04-24 05:00:00,Potato,Maturity,23.8,67.2,2.8,3.0,488.6,59.8,20.7,5.7,OFF,ORGANIC,LOW,80,128,Northeast India
Rajasthan,Udaipur,2023-09-15 19:00:00,Mustard,Flowering,18.1,62.6,2.2,0.8,346.9,50.6,16.9,7.8,OFF,NPK,LOW,87,176,North India
Andhra Pradesh,Visakhapatnam,2023-04-21 10:00:00,Groundnut,Seedling,26.8,70.0,2.3,1.1,394.0,36.3,23.8,5.5,OFF,SSP,HIGH,62,98,South India
Haryana,Panipat,2024-10-08 04:00:00,Sugarcane,Fruiting,23.9,83.3,6.8,5.9,279.3,67.7,22.3,6.8,ON,MOP,MEDIUM,80,97,North India
Uttarakhand,Haridwar,2023-11-12 20:00:00,Potato,Fruiting,24.5,58.4,3.9,2.4,718.4,71.4,20.5,5.5,OFF,ORGANIC,HIGH,65,147,North India
Andhra Pradesh,Nellore,2023-10-19 02:00:00,Cotton,Germination,25.3,46.7,0.7,4.2,304.6,38.5,23.3,7.7,OFF,DAP,LOW,83,139,South India
Karnataka,Hubballi,2024-07-03 09:00:00,Coffee,Seedling,23.9,76.6,5.1,1.0,220.3,48.3,22.2,6.0,OFF,DAP,MEDIUM,79,130,South India
Karnataka,Bengaluru,2024-05-11 09:00:00,Sugarcane,Fruiting,27.3,70.9,9.7,1.2,511.6,70.8,24.4,6.0,ON,DAP,LOW,73,127,South India
Chhattisgarh,Raipur,2024-11-30 05:00:00,Maize,Fruiting,23.4,53.5,7.0,4.1,315.5,50.4,20.7,6.8,ON,UREA,MEDIUM,60,179,Central India
Chhattisgarh,Raipur,2024-11-05 22:00:00,Groundnut,Flowering,29.5,57.5,3.9,3.8,779.3,44.2,27.7,5.9,OFF,NONE,HIGH,66,154,Central India
West Bengal,Siliguri,2024-09-28 10:00:00,Potato,Germination,18.6,63.5,3.8,3.5,485.1,59.0,15.1,5.5,ON,SSP,HIGH,71,125,East India
Rajasthan,Jodhpur,2024-01-04 18:00:00,Groundnut,Maturity,26.8,42.2,1.8,4.0,752.0,40.0,23.6,6.5,ON,UREA,MEDIUM,73,179,North India
Uttar Pradesh,Agra,2023-04-30 06:00:00,Potato,Vegetative,16.4,79.0,5.0,3.3,239.8,66.3,15.2,6.3,ON,NPK,MEDIUM,69,152,North India
Uttar Pradesh,Lucknow,2023-09-21 04:00:00,Wheat,Harvest,16.8,67.1,4.6,1.4,615.9,39.1,14.1,6.4,OFF,UREA,MEDIUM,80,111,North India
Himachal Pradesh,Solan,2023-11-21 08:00:00,Wheat,Seedling,23.3,47.1,2.1,2.4,390.2,53.7,19.9,7.4,ON,UREA,HIGH,55,147,North India
Uttar Pradesh,Lucknow,2024-11-28 21:00:00,Mustard,Vegetative,12.7,63.5,3.6,4.9,203.8,34.7,9.8,6.1,ON,NPK,LOW,75,119,North India
Tamil Nadu,Coimbatore,2024-05-26 09:00:00,Banana,Fruiting,34.9,77.4,9.2,3.4,350.7,74.9,31.9,5.8,OFF,SSP,MEDIUM,91,148,South India
Uttar Pradesh,Varanasi,2024-05-25 19:00:00,Rice,Maturity,32.3,88.9,7.8,4.8,572.1,69.9,30.8,5.9,ON,SSP,HIGH,66,167,North India
Chhattisgarh,Raipur,2024-11-20 14:00:00,Soybean,Seedling,20.4,62.7,6.6,1.6,481.0,50.9,16.5,6.3,ON,UREA,HIGH,66,147,Central India
Mizoram,Aizawl,2024-06-07 14:00:00,Ginger,Vegetative,27.8,83.4,6.8,2.8,621.9,63.8,23.9,7.0,OFF,NONE,LOW,79,168,Northeast India
Uttarakhand,Nainital,2023-03-30 00:00:00,Wheat,Maturity,22.1,65.4,0.8,1.8,338.2,44.0,18.2,7.7,OFF,MOP,HIGH,65,105,North India
Gujarat,Surat,2024-02-09 17:00:00,Castor,Germination,34.8,57.1,2.1,5.2,335.7,44.5,32.3,7.3,OFF,NPK,MEDIUM,74,135,West India
Kerala,Thrissur,2023-03-16 21:00:00,Rice,Vegetative,27.8,97.4,12.4,0.6,717.7,66.8,25.6,5.6,ON,NPK,LOW,67,103,South India
Uttar Pradesh,Kanpur,2024-10-19 02:00:00,Sugarcane,Seedling,24.7,70.4,3.4,4.4,280.1,68.6,21.8,6.0,OFF,DAP,HIGH,61,114,North India
Andhra Pradesh,Visakhapatnam,2023-02-25 06:00:00,Tobacco,Seedling,32.6,55.4,4.5,2.9,379.0,53.4,29.0,6.2,ON,UREA,MEDIUM,66,111,South India
Tamil Nadu,Coimbatore,2024-08-24 12:00:00,Banana,Vegetative,32.4,67.2,8.4,1.9,547.1,80.0,30.5,5.8,OFF,SSP,HIGH,56,111,South India
Madhya Pradesh,Jabalpur,2024-04-07 03:00:00,Cotton,Flowering,32.3,65.7,4.5,1.6,484.7,49.7,30.0,6.6,ON,NONE,LOW,83,168,Central India
West Bengal,Siliguri,2023-08-26 13:00:00,Rice,Harvest,29.4,94.4,5.5,5.8,465.0,63.9,26.7,6.3,OFF,UREA,LOW,88,161,East India
Haryana,Karnal,2023-11-26 21:00:00,Sugarcane,Vegetative,25.7,78.3,4.9,3.0,393.5,61.4,23.8,6.2,ON,MOP,MEDIUM,88,94,North India
Gujarat,Vadodara,2023-08-22 08:00:00,Bajra,Seedling,36.0,60.6,0,1.4,213.9,24.0,34.2,7.8,OFF,ORGANIC,MEDIUM,55,96,West India
Rajasthan,Ajmer,2023-12-20 03:00:00,Bajra,Maturity,27.1,54.9,1.6,2.8,366.3,27.4,23.7,6.7,ON,UREA,LOW,67,158,North India
Uttar Pradesh,Lucknow,2023-06-24 08:00:00,Wheat,Vegetative,20.3,49.9,2.8,4.2,334.3,43.6,17.6,6.8,ON,DAP,LOW,92,93,North India
Gujarat,Rajkot,2023-07-21 08:00:00,Wheat,Fruiting,19.5,60.7,4.2,4.4,219.8,56.1,16.1,7.1,OFF,NONE,HIGH,67,169,West India
Tripura,Dharmanagar,2024-08-04 21:00:00,Mustard,Maturity,14.0,64.2,2.4,1.0,508.6,64.8,11.9,7.1,ON,ORGANIC,MEDIUM,82,160,Northeast India
Maharashtra,Solapur,2024-07-31 06:00:00,Soybean,Fruiting,25.1,55.1,7.9,2.8,792.3,37.5,23.5,6.5,OFF,UREA,HIGH,61,133,West India
Meghalaya,Tura,2023-09-15 00:00:00,Orange,Germination,24.5,56.1,2.9,0.7,243.7,48.3,23.0,6.8,ON,DAP,HIGH,53,166,Northeast India
Manipur,Churachandpur,2024-04-01 09:00:00,Rice,Fruiting,32.7,78.0,7.4,2.4,218.5,77.9,30.6,5.7,ON,NONE,HIGH,82,167,Northeast India
Uttarakhand,Haridwar,2023-12-25 00:00:00,Wheat,Fruiting,23.2,48.9,6.1,3.4,332.7,61.6,20.2,6.5,ON,NONE,LOW,95,150,North India
Chhattisgarh,Korba,2023-04-03 14:00:00,Groundnut,Vegetative,23.1,72.7,5.7,6.5,377.0,41.5,21.6,6.1,ON,NPK,HIGH,64,114,Central India
Gujarat,Anand,2024-06-30 06:00:00,Bajra,Harvest,31.9,42.5,5.0,5.5,284.1,41.4,29.4,5.9,OFF,DAP,HIGH,65,169,West India
Kerala,Thrissur,2023-08-11 22:00:00,Rice,Fruiting,26.1,72.7,11.0,6.4,490.3,59.3,22.2,6.7,OFF,UREA,HIGH,67,138,South India
Gujarat,Ahmedabad,2024-04-20 23:00:00,Groundnut,Maturity,28.9,68.2,5.1,0.6,298.5,48.7,27.2,6.9,OFF,NPK,LOW,82,149,West India
Telangana,Khammam,2023-10-22 00:00:00,Cotton,Flowering,26.1,59.1,4.1,2.4,695.0,54.5,24.5,7.5,ON,ORGANIC,MEDIUM,70,91,South India
Punjab,Jalandhar,2023-05-12 06:00:00,Cotton,Flowering,36.9,48.7,5.0,5.3,475.0,32.4,34.0,7.3,OFF,DAP,LOW,88,132,North India
Punjab,Ludhiana,2024-09-08 22:00:00,Maize,Maturity,20.7,56.2,6.6,4.7,663.4,61.5,18.3,7.1,OFF,NONE,LOW,89,113,North India
Punjab,Jalandhar,2023-09-25 02:00:00,Sugarcane,Seedling,32.6,84.9,7.7,5.0,721.1,68.5,28.7,6.3,ON,UREA,LOW,72,131,North India
Tamil Nadu,Thanjavur,2023-05-19 13:00:00,Cotton,Germination,36.1,49.9,0.7,3.0,436.0,33.4,34.9,6.6,ON,NPK,MEDIUM,58,175,South India
